CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,Score 2015,Change in Yearly Score from 2014,Property Rights,Change in Property Rights from 2014,Freedom from Corruption,Change in Freedom from Corruption from 2014,Fiscal Freedom ,Change in Fiscal Freedom from 2014,Gov't Spending,Change in Gov't Spending from 2014,Business Freedom,Change in Business Freedom from 2014,Labor Freedom,Change in Labor Freedom from 2014,Monetary Freedom,Change in Monetary Freedom from 2014,Trade Freedom,Change in Trade Freedom from 2014,Investment Freedom ,Change in Investment Freedom from 2014,Financial Freedom,Change in Financial Freedom from 2014,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
135,Romania,Romania,Europe,57,27,66.6,1.1,40.0,0.0,43.0,5.3,86.9,-0.1,62.3,3.1,69.8,-1.2,68.6,3.4,77.3,0.2,88.0,0.2,80.0,0.0,50.0,0.0,1.0,16.0,16.0,28.2,35.4,Romania,21.3,$285.1 ,3.5,-0.3,"$13,396",7.4,4.0,"3,616.8",39.3
136,Russia,Russia,Europe,143,41,52.1,0.2,20.0,-5.0,28.0,5.9,86.1,0.5,57.8,-3.7,76.3,6.3,58.9,3.1,63.9,-5.5,75.0,0.4,25.0,0.0,30.0,0.0,5.0,13.0,20.0,28.7,37.5,Russia,142.9,"$2,556.2 ",1.3,1.0,"$17,884",5.8,6.8,"79,262.0",13.4
137,Rwanda,Rwanda,Sub-Saharan Africa,65,4,64.8,0.1,30.0,0.0,53.0,6.1,80.2,-0.1,79.2,1.0,59.5,-10.1,84.5,0.4,76.0,1.2,80.8,3.1,65.0,0.0,40.0,0.0,4.6,30.0,30.0,13.6,26.3,Rwanda,10.6,$16.4 ,5.0,6.9,"$1,538",0.6,4.2,110.8,29.4
138,Saint. Lucia,SaintLucia,South and Central America / Caribbean,35,3,70.2,-0.5,70.0,0.0,71.0,0.4,77.7,2.0,65.8,2.2,75.6,-7.5,79.8,-4.7,85.5,2.8,72.0,0.1,65.0,0.0,40.0,0.0,9.0,30.0,30.0,20.8,33.8,St. Lucia,0.2,$2.1 ,-1.5,-0.4,"$12,730",N/A,1.5,87.9,79.8
139,Saint. Vincent and the Grenadines,SaintVincentGrenadines,South and Central America / Caribbean,44,6,68.0,1.0,70.0,0.0,62.0,0.9,73.3,-0.4,75.3,2.9,70.8,-5.5,78.2,-0.5,82.3,2.5,68.4,0.8,60.0,10.0,40.0,0.0,10.8,32.5,33.0,23.0,28.7,St. Vincent and the Grenadines,0.1,$1.3 ,2.1,-0.1,"$12,207",N/A,0.9,126.8,76.4
140,Samoa,Samoa,Asia-Pacific,78,14,61.9,0.8,60.0,0.0,38.0,0.0,80.2,0.3,46.5,4.3,73.6,-0.1,78.4,-1.9,81.2,5.1,75.8,0.0,55.0,0.0,30.0,0.0,7.1,27.0,27.0,22.9,42.2,Samoa,0.2,$1.1 ,-0.3,-0.2,"$6,210",N/A,-0.2,28.0,N/A
141,São Tomé and Príncipe,SaoTomePrincipe,Sub-Saharan Africa,136,29,53.3,4.5,25.0,5.0,42.0,9.5,87.8,0.9,41.4,13.5,65.1,12.5,45.8,1.1,70.7,2.4,75.2,-0.1,50.0,0.0,30.0,0.0,7.4,20.0,25.0,14.0,44.2,São Tomé and Príncipe,0.2,$0.4 ,4.0,4.3,"$2,194",N/A,8.1,30.0,85.3
142,Saudi Arabia,SaudiArabia,Middle East / North Africa,77,8,62.1,-0.1,40.0,0.0,46.0,2.3,99.7,0.0,61.9,-1.2,65.8,-1.5,72.7,-3.1,68.4,-0.3,76.4,2.4,40.0,0.0,50.0,0.0,4.3,2.5,2.5,3.7,35.7,Saudi Arabia,30.0,$937.2 ,3.8,5.5,"$31,245",5.5,3.5,"9,298.0",2.7
143,Senegal,Senegal,Sub-Saharan Africa,106,16,57.8,2.4,40.0,0.0,41.0,11.5,71.3,6.2,74.6,-0.8,54.6,7.1,39.5,-2.0,83.0,1.2,74.0,0.8,60.0,0.0,40.0,0.0,8.0,40.0,30.0,19.2,29.1,Senegal,14.1,$27.7 ,4.0,3.2,"$1,958",9.9,0.8,298.3,45.9
144,Serbia,Serbia,Europe,90,37,60.0,0.6,45.0,5.0,42.0,8.0,82.4,-0.7,27.1,-11.5,57.8,-1.5,70.4,0.3,72.2,5.3,78.2,1.2,75.0,0.0,50.0,0.0,5.9,15.0,15.0,36.2,49.3,Serbia,7.2,$81.1 ,2.5,0.0,"$11,269",22.6,7.7,"1,377.4",65.8
145,Seychelles,Seychelles,Sub-Saharan Africa,114,20,57.5,1.3,50.0,0.0,54.0,5.5,79.8,3.0,59.4,-2.4,67.7,0.1,63.9,-4.6,76.0,0.9,44.0,10.6,50.0,0.0,30.0,0.0,23.0,15.0,33.0,26.6,36.8,Seychelles,0.1,$2.5 ,3.6,3.8,"$26,492",N/A,4.3,177.6,62.0
146,Sierra Leone,SierraLeone,Sub-Saharan Africa,147,36,51.7,1.2,10.0,-5.0,30.0,5.4,80.8,0.1,87.5,1.8,53.4,-1.9,41.6,12.9,68.5,-1.7,70.2,0.0,55.0,0.0,20.0,0.0,9.9,30.0,30.0,11.1,20.4,Sierra Leone,6.1,$9.4 ,16.3,9.1,"$1,542",3.2,9.8,579.1,32.6
147,Singapore,Singapore,Asia-Pacific,2,2,89.4,0.0,90.0,0.0,86.0,-5.9,91.2,0.0,93.8,2.6,96.9,0.1,96.9,0.4,83.7,2.2,90.0,0.0,85.0,0.0,80.0,0.0,0.0,20.0,17.0,14.0,14.4,Singapore,5.4,$348.7 ,4.1,5.2,"$64,584",3.1,2.4,"63,772.3",103.8
