CPI 2016 Rank,Country Code,Country,Region,CPI 2016 Score,CPI 2015 Score,CPI 2014 Score,CPI 2013 Score,CPI 2012 Score
60,CUB,Cuba,Americas,47,47,46,46,48
47,CYP,Cyprus,Europe and Central Asia,55,61,63,63,66
47,CZE,Czech Republic,Europe and Central Asia,55,56,51,48,49
1,DNK,Denmark,Europe and Central Asia,90,91,92,91,90
123,DJI,Djibouti,Sub-Saharan Africa,30,34,34,36,36
38,DMA,Dominica,Americas,59,,58,58,58
120,DOM,Dominican Republic,Americas,31,33,32,29,32
120,ECU,Ecuador,Americas,31,32,33,35,32
108,EGY,Egypt,Middle East and North Africa,34,36,37,32,32
95,SLV,El Salvador,Americas,36,39,39,38,38
164,ERI,Eritrea,Sub-Saharan Africa,18,18,18,20,25
22,EST,Estonia,Europe and Central Asia,70,70,69,68,64
108,ETH,Ethiopia,Sub-Saharan Africa,34,33,33,33,33
3,FIN,Finland,Europe and Central Asia,89,90,89,89,90
23,FRA,France,Europe and Central Asia,69,70,69,71,71
101,GAB,Gabon,Sub-Saharan Africa,35,34,37,34,35
145,GMB,Gambia,Sub-Saharan Africa,26,28,29,28,34
44,GEO,Georgia,Europe and Central Asia,57,52,52,49,52
10,DEU,Germany,Europe and Central Asia,81,81,79,78,79
70,GHA,Ghana,Sub-Saharan Africa,43,47,48,46,45
69,GRC,Greece,Europe and Central Asia,44,46,43,40,36
46,GRD,Grenada,Americas,56,,,,
136,GTM,Guatemala,Americas,28,28,32,29,33
142,GIN,Guinea,Sub-Saharan Africa,27,25,25,24,24
168,GNB,Guinea-Bissau,Sub-Saharan Africa,16,17,19,19,25
108,GUY,Guyana,Americas,34,29,30,27,28
159,HTI,Haiti,Americas,20,17,19,19,19
123,HND,Honduras,Americas,30,31,29,26,28
15,HKG,Hong Kong,Asia Pacific,77,75,74,75,77
57,HUN,Hungary,Europe and Central Asia,48,51,54,54,55
